mandi_name,yr,month_num,avg_price,avg_price_last_year,yoy_change_rs,yoy_change_pct,days_this_year,days_last_year
Lasalgaon(Niphad) APMC,2025,4,1168.0,,,,23,
Lasalgaon(Niphad) APMC,2026,4,914.0,1168.0,-254.0,-21.7,20,23.0
Lasalgaon(Niphad) APMC,2025,5,1168.0,,,,24,
Lasalgaon(Niphad) APMC,2026,5,1061.0,1168.0,-107.0,-9.2,23,24.0
Lasalgaon(Niphad) APMC,2024,6,2682.0,,,,26,
Lasalgaon(Niphad) APMC,2025,6,1535.0,2682.0,-1147.0,-42.8,23,26.0
Lasalgaon(Niphad) APMC,2026,6,1694.0,1535.0,159.0,10.3,26,23.0
Lasalgaon(Niphad) APMC,2024,7,2846.0,,,,31,
Lasalgaon(Niphad) APMC,2025,7,1398.0,2846.0,-1448.0,-50.9,22,31.0
Lasalgaon(Niphad) APMC,2025,8,1428.0,,,,18,
Lasalgaon(Niphad) APMC,2024,9,4321.0,,,,27,
Lasalgaon(Niphad) APMC,2025,9,1165.0,4321.0,-3157.0,-73.1,22,27.0
Lasalgaon(Niphad) APMC,2024,10,4266.0,,,,25,
Lasalgaon(Niphad) APMC,2025,10,1179.0,4266.0,-3088.0,-72.4,17,25.0
Lasalgaon(Niphad) APMC,2024,11,5038.0,,,,21,
Lasalgaon(Niphad) APMC,2025,11,1370.0,5038.0,-3668.0,-72.8,22,21.0
Lasalgaon(Niphad) APMC,2024,12,2611.0,,,,26,
Lasalgaon(Niphad) APMC,2025,12,1596.0,2611.0,-1014.0,-38.9,27,26.0
Lasalgaon(Vinchur) APMC,2025,1,2248.0,,,,26,
Lasalgaon(Vinchur) APMC,2026,1,1468.0,2248.0,-780.0,-34.7,25,26.0
Lasalgaon(Vinchur) APMC,2025,2,2450.0,,,,18,
Lasalgaon(Vinchur) APMC,2026,2,1099.0,2450.0,-1351.0,-55.2,22,18.0
Lasalgaon(Vinchur) APMC,2025,3,1737.0,,,,19,
Lasalgaon(Vinchur) APMC,2026,3,949.0,1737.0,-789.0,-45.4,18,19.0
Lasalgaon(Vinchur) APMC,2025,4,1204.0,,,,25,
Lasalgaon(Vinchur) APMC,2026,4,979.0,1204.0,-225.0,-18.7,24,25.0
Lasalgaon(Vinchur) APMC,2025,5,1174.0,,,,25,
Lasalgaon(Vinchur) APMC,2026,5,1137.0,1174.0,-37.0,-3.2,25,25.0
Lasalgaon(Vinchur) APMC,2024,6,2652.0,,,,25,
Lasalgaon(Vinchur) APMC,2025,6,1526.0,2652.0,-1126.0,-42.5,23,25.0
Lasalgaon(Vinchur) APMC,2026,6,1682.0,1526.0,156.0,10.2,25,23.0
Lasalgaon(Vinchur) APMC,2024,7,2827.0,,,,27,
